"","Country","Temperature","Humidity","Windspeed"
"1","Albania",5.66907030026227,0.670168441896503,1.90593312251138
"2","Andorra",-2.67340620234609,0.391490627080202,7.32581251859665
"3","Austria",0.512359857089733,0.487402018211512,2.86634992806028
"4","Belgium",4.86947974521401,0.697548382729292,4.30360547772476
"5","Bosnia Herzegovina",3.35211898729716,0.574480800430455,2.25410921422488
"6","Croatia",5.15515841272291,0.651959825065229,2.56974170308608
"7","Czech Republic",1.84586991134605,0.55328260113098,3.76282478768504
"8","Denmark",2.48046180034948,0.623438974621437,5.53552563362202
"9","Estonia",-1.88459999800897,0.425271784090528,3.53697606301775
"10","Finland",-6.49898772103726,0.320283078338598,2.84081719122807
"11","France",5.88109916542831,0.72366699601686,4.00519678295819
"12","Germany",3.1340898546883,0.61292316434356,3.78219411460962
"13","Gibraltar (UK)",NA,NA,NA
"14","Greece",7.74304714258103,0.770890061611589,3.07697788236836
"15","Guernsey (UK)",NA,NA,NA
"16","Hungary",4.00491031355156,0.610893093883688,2.83155963431485
"17","Ireland",6.2005151377208,0.79335732071296,5.04935660845991
"18","Isle of Man (UK)",5.15950079758962,0.735642492771149,7.82804862658183
"19","Italy",6.5342162981738,0.734380781556628,2.71066813830818
"20","Jersey (UK)",7.5155063867569,0.845284819602966,7.45189869403839
"21","Latvia",-1.26920196197864,0.455476728766117,3.46418077949175
"22","Liechtenstein",-0.256312534213066,0.435012504458427,2.98262494802475
"23","Lithuania",-0.63456058747156,0.495941509501188,3.73708264063195
"24","Luxembourg",3.72136365690015,0.635415910319848,3.864289755171
"25","Macedonia",3.57883477581914,0.562215344593076,2.47332054583153
"26","Malta",13.4767396450043,1.13336077332497,4.2859890460968
"27","Monaco",8.43130254745483,0.774296209216118,4.10724782943726
"28","Montenegro",2.6560844066226,0.557013914511915,2.66388984050667
"29","Netherlands",4.78910674693355,0.712058181504169,4.76682096468397
"30","Norway",-4.56886936969502,0.36501612306235,4.1699488058147
"31","Poland",1.61324846427959,0.557074371436421,3.62621888246666
"32","Portugal",10.7719120537025,0.9650785619366,3.12955212264821
"33","San Marino",6.93437504768372,0.737437516450882,2.61343747377396
"34","Serbia",3.74099030534684,0.599839491135031,2.80675744436619
"35","Slovakia",1.69154517100277,0.534005310318687,3.18011193573475
"36","Slovenia",2.68222897270489,0.571878559627505,1.99504437869371
"37","Spain",8.03698649243317,0.767999084657571,3.34620653731929
"38","Sweden",-4.72916534385569,0.377526220479134,3.13352429034757
"39","Switzerland",-0.254621067003214,0.464288747651236,3.27035249403545
"40","United Kingdom",4.8073790080612,0.717057486420216,5.53399578771214
"41","Armenia",-1.85186788070489,0.394549286711896,2.28644845438631
"42","Azerbaijan",4.44625135118582,0.632099131501659,2.34759701650452
"43","Belarus",-1.2585905332763,0.451706937921814,3.42020272193569
"44","Bulgaria",3.96254900254252,0.606808648949443,2.97033547503608
"45","Faeroe Islands (Denmark)",3.40799408406019,0.648406554013491,8.85893853008747
"46","Georgia",1.59486672269639,0.499379528925205,2.20078042651707
"47","Iceland",-2.7816662456013,0.381782078665171,7.58243694053017
"48","Jan Mayen (Norway)",-6.5640831887722,0.3204779420048,11.2920724749565
"49","Moldova",2.04077745264245,0.544505696995435,3.37086783752248
"50","Romania",2.29340263012779,0.573159148869802,2.54344854914962
"51","Svalbard (Norway)",NA,NA,NA
"52","Turkey",3.67705569272128,0.557827889230829,2.31580914304038
"53","Ukraine",0.350071340022184,0.50081188443781,3.46423241253236
"54","Russia",-7.11124548008023,0.309993536063247,3.70600867266137
