"","Country","Ratio"
"1","Albania",1.04950447162273
"2","Andorra",1.04510626173487
"3","Austria",1.0992566211159
"4","Belgium",1.116625751475
"5","Bosnia Herzegovina",1.06955831891202
"6","Croatia",1.0648707130509
"7","Czech Republic",1.08290388946211
"8","Denmark",1.06034616350048
"9","Estonia",1.05187280212609
"10","Finland",1.07073638249388
"11","France",1.12899230760293
"12","Germany",1.12885265002242
"13","Greece",1.05120092991858
"14","Hungary",1.08145649180818
"15","Ireland",1.11827418513944
"16","Italy",1.11029676283277
"17","Latvia",1.04827180311344
"18","Lithuania",1.05528968628271
"19","Luxembourg",1.06281787481256
"20","Macedonia",1.06589176873936
"21","Malta",1.03955134527269
"22","Montenegro",1.03032852987695
"23","Netherlands",1.10635014919261
"24","Norway",1.07757067449646
"25","Poland",1.10573685007847
"26","Portugal",1.11320298601976
"27","San Marino",1.03910725907503
"28","Serbia",1.10908810639088
"29","Slovakia",1.05985436365175
"30","Slovenia",1.04439665717089
"31","Spain",1.14016663720852
"32","Sweden",1.09116761289279
"33","Switzerland",1.09987867248142
"34","United Kingdom",1.12946318937846
"35","Armenia",1.06637131213901
"36","Azerbaijan",1.07501759739245
"37","Belarus",1.16224709213619
"38","Bulgaria",1.05745892733575
"39","Georgia",1.05407130468241
"40","Iceland",1.05877653570434
"41","Moldova",1.09926878991528
"42","Romania",1.10518431491101
"43","Turkey",1.14595160793485
"44","Ukraine",1.11553905946132
"45","Russia",1.1667354296464
